cb_code,cb_name,stk_code,stk_name,theme_score,matched_concepts,trigger_sources,relation_reason,premium_rate,cb_amount,remain_size_yi,call_status,risk_notes,quality_tier,quality_tier_reason
128020.SZ,水晶转债,002273,水晶光电,1217.7903,光学元件、苹果概念,002273,正股为触发股，命中光学元件、苹果概念,,,0.0,安全,退市日期2020-02-24,A,概念竞价强度0.74%
128101.SZ,联创转债,002036,联创电子,217.7903,光学元件、苹果概念,002273,命中光学元件、苹果概念,,,0.0,公告到期赎回,公告到期赎回；退市日期2026-03-17,A,概念竞价强度0.74%
110081.SH,闻泰转债,600745,*ST闻泰,117.7903,苹果概念,002273,命中苹果概念,,65470.6801,80.63,安全,成交额偏低6.5万；剩余规模80.63亿,A,概念竞价强度0.21%
110101.SH,宝钛转债,600456,宝钛股份,117.7903,苹果概念,002273,命中苹果概念,,,35.0,安全,剩余规模35.00亿,A,概念竞价强度0.21%
110800.SH,赛腾定转,603283,赛腾股份,117.7903,苹果概念,002273,命中苹果概念,,,0.0,安全,退市日期2021-05-31,A,概念竞价强度0.21%
111012.SH,福新转债,605488,福莱新材,117.7903,苹果概念,002273,命中苹果概念,,153262.097,1.02,公告不强赎,成交额偏低15.3万,A,概念竞价强度0.21%
113045.SH,环旭转债,601231,环旭电子,117.7903,苹果概念,002273,命中苹果概念,,,0.0,公告实施强赎,强赎中；退市日期2026-01-29,A,概念竞价强度0.21%
113046.SH,金田转债,601609,金田股份,117.7903,苹果概念,002273,命中苹果概念,,11820.8945,14.99,安全,成交额偏低1.2万；剩余规模14.99亿,A,概念竞价强度0.21%
113064.SH,东材转债,601208,东材科技,117.7903,苹果概念,002273,命中苹果概念,,,0.0,公告实施强赎,强赎中；退市日期2025-09-08,A,概念竞价强度0.21%
113068.SH,金铜转债,601609,金田股份,117.7903,苹果概念,002273,命中苹果概念,,,0.0,公告实施强赎,强赎中；退市日期2025-08-26,A,概念竞价强度0.21%
